"","pais","continente","anio","esperanza_de_vida","poblacion","pib_per_capita"
"78","Malaui","África",1957,37.207,3221238,416.3698064
"79","Malasia","Asia",1957,52.102,7739235,1810.066992
"80","Malí","África",1957,35.307,4241884,490.3821867
"81","Mauritania","África",1957,42.338,1076852,846.1202613
"82","Mauricio","África",1957,58.089,609816,2034.037981
"83","México","Américas",1957,55.19,35015548,4131.546641
"84","Mongolia","Asia",1957,45.248,882134,912.6626085
"85","Montenegro","Europa",1957,61.448,442829,3682.259903
"86","Marruecos","África",1957,45.423,11406350,1642.002314
"87","Mozambique","África",1957,33.779,7038035,495.5868333
"88","Myanmar","Asia",1957,41.905,21731844,350
"89","Namibia","África",1957,45.226,548080,2621.448058
"90","Nepal","Asia",1957,37.686,9682338,597.9363558
"91","Países Bajos","Europa",1957,72.99,11026383,11276.19344
"92","Nueva Zelanda","Oceanía",1957,70.26,2229407,12247.39532
"93","Nicaragua","Américas",1957,45.432,1358828,3457.415947
"94","Niger","África",1957,38.598,3692184,835.5234025
"95","Nigeria","África",1957,37.802,37173340,1100.592563
"96","Noruega","Europa",1957,73.44,3491938,11653.97304
"97","Omán","Asia",1957,40.08,561977,2242.746551
"98","Pakistán","Asia",1957,45.557,46679944,747.0835292
"99","Panamá","Américas",1957,59.201,1063506,2961.800905
"100","Paraguay","Américas",1957,63.196,1770902,2046.154706
"101","Perú","Américas",1957,46.263,9146100,4245.256698
"102","Filipinas","Asia",1957,51.334,26072194,1547.944844
"103","Polonia","Europa",1957,65.77,28235346,4734.253019
"104","Portugal","Europa",1957,61.51,8817650,3774.571743
"105","Puerto Rico","Américas",1957,68.54,2260000,3907.156189
"106","Reunión","África",1957,55.09,308700,2769.451844
"107","Rumania","Europa",1957,64.1,17829327,3943.370225
"108","Ruanda","África",1957,41.5,2822082,540.2893983
"109","Santo Tomé y Príncipe","África",1957,48.945,61325,860.7369026
"110","Arabia Saudita","Asia",1957,42.868,4419650,8157.591248
"111","Senegal","África",1957,39.329,3054547,1567.653006
"112","Serbia","Europa",1957,61.685,7271135,4981.090891
"113","Sierra Leona","África",1957,31.57,2295678,1004.484437
"114","Singapur","Asia",1957,63.179,1445929,2843.104409
"115","Eslovaquia","Europa",1957,67.45,3844277,6093.26298
"116","Eslovenia","Europa",1957,67.85,1533070,5862.276629
"117","Somalia","África",1957,34.977,2780415,1258.147413
"118","Sudáfrica","África",1957,47.985,16151549,5487.104219
"119","España","Europa",1957,66.66,29841614,4564.80241
"120","Sri Lanka","Asia",1957,61.456,9128546,1072.546602
"121","Sudán","África",1957,39.624,9753392,1770.337074
"122","Swazilandia","África",1957,43.424,326741,1244.708364
"123","Suecia","Europa",1957,72.49,7363802,9911.878226
"124","Suiza","Europa",1957,70.56,5126000,17909.48973
"125","Siria","Asia",1957,48.284,4149908,2117.234893
"126","Taiwán, China","Asia",1957,62.4,10164215,1507.86129
"127","Tanzania","África",1957,42.974,9452826,698.5356073
"128","Tailandia","Asia",1957,53.63,25041917,793.5774148
"129","Togo","África",1957,41.208,1357445,925.9083202
"130","Trinidad y Tobago","Américas",1957,61.8,764900,4100.3934
"131","Túnez","África",1957,47.1,3950849,1395.232468
"132","Turquía","Europa",1957,48.079,25670939,2218.754257
"133","Uganda","África",1957,42.571,6675501,774.3710692
"134","Reino Unido","Europa",1957,70.42,51430000,11283.17795
"135","Estados Unidos","Américas",1957,69.49,171984000,14847.12712
"136","Uruguay","Américas",1957,67.044,2424959,6150.772969
"137","Venezuela","Américas",1957,57.907,6702668,9802.466526
"138","Vietnam","Asia",1957,42.887,28998543,676.2854478
"139","Territorios Palestinos","Asia",1957,45.671,1070439,1827.067742
"140","Yemen","Asia",1957,33.97,5498090,804.8304547
"141","Zambia","África",1957,44.077,3016000,1311.956766
"142","Zimbabue","África",1957,50.469,3646340,518.7642681
